"filename", "language", "C++", "Markdown", "JSON", "comment", "blank", "total"
"d:\VisualStudioCodeProjects\SDL1\.vscode-counter.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL.h", "C++", 63, 0, 0, 155, 16, 234
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL2_framerate.h", "C++", 37, 0, 0, 47, 17, 101
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL2_gfxPrimitives.h", "C++", 113, 0, 0, 61, 68, 242
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL2_gfxPrimitives_font.h", "C++", 2051, 0, 0, 796, 260, 3107
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL2_imageFilter.h", "C++", 60, 0, 0, 69, 38, 167
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL2_rotozoom.h", "C++", 40, 0, 0, 58, 26, 124
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_assert.h", "C++", 130, 0, 0, 163, 30, 323
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_atomic.h", "C++", 106, 0, 0, 276, 33, 415
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_audio.h", "C++", 181, 0, 0, 1242, 78, 1501
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_bits.h", "C++", 66, 0, 0, 45, 16, 127
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_blendmode.h", "C++", 47, 0, 0, 139, 13, 199
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_clipboard.h", "C++", 18, 0, 0, 108, 16, 142
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_config.h", "C++", 254, 0, 0, 52, 28, 334
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_cpuinfo.h", "C++", 119, 0, 0, 439, 37, 595
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_egl.h", "C++", 1810, 0, 0, 277, 266, 2353
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_endian.h", "C++", 270, 0, 0, 52, 27, 349
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_error.h", "C++", 30, 0, 0, 119, 15, 164
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_events.h", "C++", 453, 0, 0, 613, 94, 1160
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_filesystem.h", "C++", 14, 0, 0, 125, 11, 150
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_gamecontroller.h", "C++", 160, 0, 0, 857, 80, 1097
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_gesture.h", "C++", 20, 0, 0, 80, 18, 118
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_guid.h", "C++", 18, 0, 0, 71, 12, 101
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_haptic.h", "C++", 182, 0, 0, 1054, 106, 1342
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_hidapi.h", "C++", 50, 0, 0, 370, 32, 452
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_hints.h", "C++", 232, 0, 0, 2441, 220, 2893
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_image.h", "C++", 109, 0, 0, 2011, 74, 2194
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_joystick.h", "C++", 145, 0, 0, 848, 82, 1075
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_keyboard.h", "C++", 41, 0, 0, 286, 29, 356
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_keycode.h", "C++", 288, 0, 0, 43, 28, 359
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_loadso.h", "C++", 17, 0, 0, 88, 11, 116
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_locale.h", "C++", 19, 0, 0, 74, 11, 104
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_log.h", "C++", 67, 0, 0, 306, 32, 405
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_main.h", "C++", 60, 0, 0, 182, 41, 283
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_messagebox.h", "C++", 61, 0, 0, 114, 19, 194
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_metal.h", "C++", 19, 0, 0, 81, 14, 114
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_misc.h", "C++", 13, 0, 0, 57, 10, 80
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_mouse.h", "C++", 70, 0, 0, 365, 30, 465
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_mutex.h", "C++", 91, 0, 0, 391, 64, 546
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_name.h", "C++", 7, 0, 0, 21, 6, 34
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_opengl.h", "C++", 1526, 0, 0, 186, 421, 2133
